OBJNAME,RA,DEC,Z,constellation
CGCG 210-023,145.12516666666664,40.087694444444445,2.744e-02,Lynx
CGCG 092-027,145.15791666666664,19.5805,2.636e-02,Leo
VIII Zw 052,145.12899999999996,13.541916666666667,2.867e-02,Leo
NGC 2955,145.31924999999998,35.88227777777778,2.338e-02,Leo Minor
CGCG 122-052,145.33525,21.28247222222222,2.582e-02,Leo
UGC 05173,145.38416666666666,11.413305555555556,2.080e-02,Leo
UGC 05177,145.4747083333333,11.632527777777778,1.691e-02,Leo
CGCG 122-055,145.5199583333333,23.68525,2.130e-02,Leo
CGCG 152-054,145.57979166666664,30.963583333333332,2.609e-02,Leo
CGCG 035-037,145.63112499999997,7.099055555555555,2.494e-02,Leo
KUG 0939+587,145.8457083333333,58.52469444444444,4.484e-03,Ursa Major
CGCG 035-038,145.69291666666663,4.292777777777777,2.936e-02,Sextans
KUG 0940+485,145.94379166666664,48.29072222222222,2.503e-02,Ursa Major
NGC 2971,145.94216666666665,36.179361111111106,2.260e-02,Leo Minor
CGCG 035-040,145.90216666666666,7.451138888888889,2.569e-02,Leo
UGC 05201,146.14570833333332,55.76280555555556,2.544e-02,Ursa Major
MRK 0406,146.01333333333332,29.609472222222223,1.685e-02,Leo
CGCG 035-043,146.04329166666665,2.4103055555555555,1.996e-02,Sextans
CGCG 063-056,146.09787499999996,11.231305555555556,1.692e-02,Leo
CGCG 122-066,146.15779166666664,26.189972222222224,2.340e-02,Leo
CGCG 182-009,146.29654166666666,36.534277777777774,2.317e-02,Leo Minor
UGC 05211,146.16262499999996,-0.22155555555555556,2.174e-02,Sextans
UGC 05213,146.2379583333333,16.707444444444445,1.987e-02,Leo
KUG 0942+349,146.46775,34.68558333333333,2.044e-02,Leo Minor
CGCG 092-044,146.4444583333333,18.56147222222222,2.717e-02,Leo
KUG 0943+350,146.58383333333333,34.79563888888889,2.204e-02,Leo Minor
UGC 05235,146.72475,23.02322222222222,2.432e-02,Leo
UGC 05240,146.840125,25.745972222222225,2.312e-02,Leo
UGC 05241,146.99349999999998,54.01475,2.489e-02,Ursa Major
CGCG 007-035,146.80683333333332,0.6655555555555556,2.012e-02,Sextans
UGC 05246,146.95420833333333,23.722805555555553,2.364e-02,Leo
CGCG 063-071,146.9655,8.830805555555555,1.813e-02,Leo
ARK 217,147.1705,9.008777777777778,2.985e-02,Leo
MCG +09-16-054,147.46979166666665,50.86438888888889,2.577e-02,Ursa Major
UGC 05257,147.35716666666664,21.678444444444445,2.452e-02,Leo
CGCG 035-064,147.28654166666664,2.4808333333333334,2.035e-02,Sextans
NGC 3015,147.3455,1.1454166666666665,2.521e-02,Sextans
